+---------+--------------------------------------------------------------------------+-----------+
|  App ID |                                   Name                                   |  Playtime |
+---------+--------------------------------------------------------------------------+-----------+
|    10   |                              Counter-Strike                              |  4 Hours  |
|    80   |                      Counter-Strike: Condition Zero                      |  3 Hours  |
|   100   |              Counter-Strike: Condition Zero Deleted Scenes               |  0 Hours  |
|   300   |                          Day of Defeat: Source                           |  0 Hours  |
|    20   |                          Team Fortress Classic                           |  0 Hours  |
|    30   |                              Day of Defeat                               |  0 Hours  |
|    40   |                            Deathmatch Classic                            |  0 Hours  |
|    50   |                        Half-Life: Opposing Force                         |  0 Hours  |
|    60   |                                 Ricochet                                 |  0 Hours  |
|    70   |                                Half-Life                                 |  0 Hours  |
|   130   |                          Half-Life: Blue Shift                           |  0 Hours  |
|   220   |                               Half-Life 2                                |  0 Hours  |
|   340   |                         Half-Life 2: Lost Coast                          |  0 Hours  |
|   240   |                          Counter-Strike: Source                          |  12 Hours |
|   280   |                            Half-Life: Source                             |  0 Hours  |
|   360   |                       Half-Life Deathmatch: Source                       |  0 Hours  |
|   320   |                         Half-Life 2: Deathmatch                          |  0 Hours  |
|   380   |                         Half-Life 2: Episode One                         |  0 Hours  |
|   4000  |                               Garry's Mod                                |  7 Hours  |
|   6880  |                                Just Cause                                |  0 Hours  |
|   400   |                                  Portal                                  |  3 Hours  |
|   420   |                         Half-Life 2: Episode Two                         |  0 Hours  |
|   500   |                               Left 4 Dead                                |  0 Hours  |
|  12200  |                        Bully: Scholarship Edition                        |  1 Hours  |
|  13500  |                     Prince of Persia: Warrior Within                     |  1 Hours  |
|  17410  |                              Mirror's Edge                               |  1 Hours  |
|  15190  |                    Brothers in Arms: Road to Hill 30                     |  0 Hours  |
|  15390  |                     Brothers in Arms: Hell's Highway                     |  0 Hours  |
|  19800  |                    Brothers in Arms: Earned in Blood                     |  0 Hours  |
|   550   |                              Left 4 Dead 2                               |  14 Hours |
|   8190  |                               Just Cause 2                               |  0 Hours  |
|  12210  |                Grand Theft Auto IV: The Complete Edition                 |  1 Hours  |
|  47870  |                       Need for Speed: Hot Pursuit                        |  1 Hours  |
|  50300  |                            Spec Ops: The Line                            |  1 Hours  |
|  55100  |                                Homefront                                 |  0 Hours  |
|  71230  |                                Crazy Taxi                                |  1 Hours  |
|   620   |                                 Portal 2                                 |  15 Hours |
|  105600 |                                 Terraria                                 |  1 Hours  |
|  55150  |                      Warhammer 40,000: Space Marine                      |  0 Hours  |
|  12100  |                           Grand Theft Auto III                           |  7 Hours  |
|  12110  |                       Grand Theft Auto: Vice City                        |  5 Hours  |
|  12120  |                      Grand Theft Auto: San Andreas                       |  9 Hours  |
|  12230  |                           Grand Theft Auto III                           |  0 Hours  |
|  12240  |                       Grand Theft Auto: Vice City                        |  0 Hours  |
|  12250  |                      Grand Theft Auto: San Andreas                       |  0 Hours  |
|  202200 |               Galactic Civilizations II: Ultimate Edition                |  0 Hours  |
|  67370  |                             The Darkness II                              |  0 Hours  |
|  105450 |                        Age of Empires® III (2007)                        |  16 Hours |
|  35000  |                               Mini Ninjas                                |  0 Hours  |
|  201700 |                              DiRT Showdown                               |  0 Hours  |
|  207610 |                             The Walking Dead                             |  1 Hours  |
|  49520  |                              Borderlands 2                               |  2 Hours  |
|  202970 |                        Call of Duty: Black Ops II                        |  0 Hours  |
|  202990 |                 Call of Duty: Black Ops II - Multiplayer                 |  11 Hours |
|  212910 |                   Call of Duty: Black Ops II - Zombies                   |  36 Hours |
|  205100 |                                Dishonored                                |  1 Hours  |
|  219950 |                          NiGHTS into Dreams...                           |  0 Hours  |
|  214510 |                       LEGO® The Lord of the Rings™                       |  0 Hours  |
|  227300 |                          Euro Truck Simulator 2                          |  3 Hours  |
|  99900  |                              Spiral Knights                              |  0 Hours  |
|  203290 |                     America's Army: Proving Grounds                      |  0 Hours  |
|  208090 |                                 Loadout                                  |  1 Hours  |
|  218230 |                               PlanetSide 2                               |  2 Hours  |
| 1083500 |                           PlanetSide 2 - Test                            |  0 Hours  |
|  230410 |                                 Warframe                                 |  1 Hours  |
|  236390 |                               War Thunder                                |  4 Hours  |
|  272350 |                  Tom Clancy's Ghost Recon Phantoms - EU                  |  40 Hours |
|  209870 |                         Blacklight: Retribution                          |  7 Hours  |
|  253710 |                            theHunter Classic                             |  0 Hours  |
|  203160 |                               Tomb Raider                                |  1 Hours  |
|  232010 |                           Euro Truck Simulator                           |  0 Hours  |
|  44350  |                                  GRID 2                                  |  0 Hours  |
|  22300  |                                Fallout 3                                 |  0 Hours  |
|  242760 |                                The Forest                                |  3 Hours  |
|  218620 |                                 PAYDAY 2                                 |  10 Hours |
|  252330 |                           Slender: The Arrival                           |  0 Hours  |
|  252490 |                                   Rust                                   | 120 Hours |
|  700580 |                          Rust - Staging Branch                           |  0 Hours  |
|  252950 |                              Rocket League                               | 527 Hours |
|  261430 |                            AION Free-to-Play                             |  3 Hours  |
|  265930 |                              Goat Simulator                              |  3 Hours  |
|  268870 |                             Satellite Reign                              |  0 Hours  |
|  269670 |                    BADLAND: Game of the Year Edition                     |  0 Hours  |
|  271590 |                            Grand Theft Auto V                            | 392 Hours |
|  278360 |                          A Story About My Uncle                          |  0 Hours  |
|  285160 |                            LEGO® The Hobbit™                             |  0 Hours  |
|  290930 |                           Half-Life 2: Update                            |  0 Hours  |
